172.21.0.1 - - [06/Jan/2017:05:20:24 +0000] GET http://localhost/css/main_front.css HTTP/1.1 200 132239 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.21.0.1 - - [06/Jan/2017:05:20:24 +0000] GET http://localhost/js/plugins.js HTTP/1.1 200 32510 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.21.0.1 - - [06/Jan/2017:05:20:24 +0000] GET http://localhost/js/main.js HTTP/1.1 200 564 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.21.0.1 - - [06/Jan/2017:05:20:24 +0000] GET http://localhost/img/fr-flag.png HTTP/1.1 200 1880 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.21.0.1 - - [06/Jan/2017:05:20:24 +0000] GET http://localhost/img/en-flag.png HTTP/1.1 200 2488 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.21.0.1 - - [06/Jan/2017:05:20:24 +0000] GET http://localhost/img/pt-BR-flag.png HTTP/1.1 200 4191 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.21.0.1 - - [06/Jan/2017:05:20:24 +0000] GET http://localhost/img/laravel-l-slant.png HTTP/1.1 200 7826 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.21.0.1 - - [06/Jan/2017:05:20:24 +0000] GET http://localhost/img/bg.jpg HTTP/1.1 200 949181 "http://localhost/css/main_front.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.21.0.1 - - [06/Jan/2017:05:20:28 +0000] GET http://localhost/contact/create HTTP/1.1 200 2171 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.445" connect_time="0.002" header_time="0.445" response_time="0.445"
172.21.0.1 - - [06/Jan/2017:05:20:29 +0000] GET http://localhost/articles HTTP/1.1 500 32302 "http://localhost/contact/create" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.159" connect_time="0.003" header_time="0.159" response_time="0.159"
172.21.0.1 - - [06/Jan/2017:05:28:46 +0000] GET http://localhost/articles HTTP/1.1 200 2632 "http://localhost/contact/create" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.951" connect_time="0.003" header_time="0.951" response_time="0.951"
172.21.0.1 - - [06/Jan/2017:05:28:46 +0000] GET http://localhost/filemanager/userfiles/user2/mega-champignon.png HTTP/1.1 200 18997 "http://localhost/articles" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.21.0.1 - - [06/Jan/2017:05:28:46 +0000] GET http://localhost/filemanager/userfiles/user2/goomba.png HTTP/1.1 200 24165 "http://localhost/articles" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.21.0.1 - - [06/Jan/2017:05:28:51 +0000] GET http://localhost/blog/post-1 HTTP/1.1 200 4394 "http://localhost/articles" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.523" connect_time="0.002" header_time="0.523" response_time="0.523"
172.21.0.1 - - [06/Jan/2017:05:28:51 +0000] GET http://localhost/ckeditor/plugins/codesnippet/lib/highlight/styles/monokai.css HTTP/1.1 200 2014 "http://localhost/blog/post-1" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.21.0.1 - - [06/Jan/2017:05:28:51 +0000] GET http://localhost/ckeditor/plugins/codesnippet/lib/highlight/highlight.pack.js HTTP/1.1 200 30178 "http://localhost/blog/post-1" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
